RACERETH,total,appropriate,potentially,inappropriate
Non-Hispanic White,0.4 (0.34 to 0.46),0.062 (0.048 to 0.075),0.14 (0.11 to 0.18),0.19 (0.16 to 0.23)
Non-Hispanic Black,0.33 (0.27 to 0.39),0.07 (0.05 to 0.089),0.11 (0.078 to 0.14),0.15 (0.11 to 0.19)
Hispanic,0.29 (0.23 to 0.36),0.045 (0.026 to 0.064),0.11 (0.07 to 0.15),0.14 (0.1 to 0.18)
Non-Hispanic Other,0.2 (0.14 to 0.27),0.023 (0.0083 to 0.038),0.084 (0.041 to 0.13),0.096 (0.055 to 0.14)
